;Branch;Tenure;Salary;Department;JobSatisfaction;WorkLifeBalance;CommuteDistance;MaritalStatus;Education;PerformanceRating;TrainingHours;OverTime;NumProjects;YearsSincePromotion;EnvironmentSatisfaction;ChurnLikelihood
210;Philadelphia;3,0000;60000;Customer Service;4;4;Short;Single;Bachelor;3;30,0000;Yes;4;0;2;Highly Likely to Churn'
211;New York;17,0000;88000;Product Management;3;3;Medium;Single;Bachelor;4;30,0000;Yes;4;3;3;Moderately Likely to Churn
212;Miami;4,0000;57000;Accounting;4;4;Short;Divorced;Bachelor;4;6,0000;Yes;4;0;3;Highly Likely to Churn'
213;Los Angeles;14,0000;73500;IT Support;2;3;Short;Single;Bachelor;3;36,0000;Yes;3;2;2;Highly Likely to Churn'
214;Miami;9,0000;62000;Customer Service;5;5;Medium;Married;Bachelor;4;30,0000;Yes;3;3;2;Highly Likely to Churn'
215;Philadelphia;7,0000;68500;Customer Service;3;4;Short;Married;Bachelor;3;35,7089;Yes;3;1;2;Highly Likely to Churn'
216;Dallas;6,0000;64000;Public Relations;2;4;Long;Divorced;Bachelor;4;36,0000;Yes;3;0;2;Highly Likely to Churn'
217;Dallas;6,0000;73000;Sales;3;2;Medium;Single;Bachelor;3;30,4337;Yes;3;0;1;Highly Likely to Churn'
218;Atlanta;3,0000;61000;Sales;4;4;Long;Married;Bachelor;3;34,6456;Yes;4;0;3;Highly Likely to Churn'
219;New York;8,0000;67500;Operations;3;4;Short;Single;Bachelor;3;6,0000;Yes;4;2;3;Moderately Likely to Churn
220;Boston;9,0000;61500;Customer Service;5;4;Long;Married;High School;4;63,0000;Yes;5;2;2;Highly Likely to Churn'
221;New York;8,0000;65500;Quality Assurance;2;4;Short;Married;Bachelor;3;24,0000;Yes;4;1;2;Highly Likely to Churn'
222;Chicago;8,0000;77000;Product Management;3;4;Long;Single;Master;3;18,0000;Yes;4;2;3;Moderately Likely to Churn
223;Los Angeles;7,0000;66500;Marketing;3;4;Long;Married;Bachelor;3;36,0000;Yes;4;0;4;Moderately Likely to Churn
224;Los Angeles;13,0000;71500;Marketing;4;4;Long;Divorced;High School;4;56,0000;Yes;4;1;3;Moderately Likely to Churn
225;Scranton;7,0000;58000;Customer Service;2;4;Short;Divorced;Bachelor;4;12,0000;Yes;3;0;2;Highly Likely to Churn'
226;Boston;8,0000;70000;IT Support;1;3;Medium;Single;Bachelor;3;36,0000;Yes;3;2;2;Highly Likely to Churn'
227;Boston;5,0000;62500;Sales;3;5;Short;Married;High School;4;56,0000;Yes;3;0;2;Highly Likely to Churn'
228;Scranton;5,0000;61500;Accounting;5;4;Medium;Married;High School;4;34,6456;Yes;3;0;2;Highly Likely to Churn'
229;Scranton;8,0000;60500;Public Relations;4;4;Short;Single;Bachelor;3;24,0000;Yes;4;1;3;Moderately Likely to Churn
230;Seattle;8,0000;65500;Research and Development;5;4;Short;Married;Bachelor;4;12,0000;Yes;3;0;3;Moderately Likely to Churn
231;Seattle;6,0000;60000;Procurement;5;3;Short;Single;High School;3;40,0000;Yes;2;0;3;Highly Likely to Churn'
232;Denver;6,0000;59000;Procurement;5;4;Long;Married;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
233;San Francisco;13,0000;80000;Public Relations;3;4;Short;Divorced;Bachelor;4;36,0000;Yes;5;5;4;Moderately Likely to Churn
234;Philadelphia;8,0000;76500;Research and Development;3;4;Short;Divorced;Bachelor;4;36,0000;Yes;4;0;3;Moderately Likely to Churn
235;Scranton;7,0000;59500;Legal;5;4;Medium;Married;High School;3;63,0000;Yes;3;1;2;Highly Likely to Churn'
236;Miami;4,0000;61500;Marketing;2;4;Medium;Single;Bachelor;3;34,6456;Yes;3;0;3;Highly Likely to Churn'
237;New York;10,0000;74500;Sales;2;4;Long;Married;Bachelor;4;12,0000;Yes;4;0;3;Moderately Likely to Churn
238;Scranton;1,0000;62500;Sales;2;4;Medium;Married;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
239;Scranton;9,0000;55500;Accounting;3;3;Medium;Married;High School;3;63,0000;Yes;3;1;2;Highly Likely to Churn'
240;San Francisco;6,0000;83500;Product Management;4;4;Medium;Married;High School;3;32,2233;Yes;2;0;2;Highly Likely to Churn'
241;San Francisco;7,6121;68000;Public Relations;2;4;Medium;Divorced;Bachelor;4;18,0000;Yes;4;0;3;Moderately Likely to Churn
242;New York;3,0000;63500;Research and Development;3;4;Long;Married;High School;3;32,0000;Yes;3;0;2;Highly Likely to Churn'
243;Dallas;8,0000;66000;Legal;3;3;Long;Married;Bachelor;4;34,6456;Yes;4;0;3;Moderately Likely to Churn
244;Scranton;8,0000;55000;Marketing;4;4;Short;Married;High School;4;63,0000;Yes;4;1;2;Highly Likely to Churn'
245;Scranton;11,0000;55500;Operations;2;5;Medium;Married;Bachelor;4;24,0000;Yes;3;2;3;Moderately Likely to Churn
246;Philadelphia;6,0000;74500;Legal;4;4;Short;Married;Bachelor;3;24,0000;Yes;4;0;2;Highly Likely to Churn'
247;Los Angeles;7,0000;57500;Administration;3;4;Medium;Married;Bachelor;4;18,0000;Yes;4;1;3;Moderately Likely to Churn
248;New York;4,0000;67500;Product Management;3;4;Short;Single;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
249;Los Angeles;4,0000;57000;Customer Service;3;4;Long;Married;Bachelor;4;24,0000;Yes;4;0;3;Moderately Likely to Churn
250;New York;12,0000;75000;Quality Assurance;3;4;Long;Divorced;Bachelor;4;12,0000;Yes;3;3;2;Highly Likely to Churn'
251;New York;6,0000;76000;Accounting;5;4;Short;Married;Bachelor;3;6,0000;Yes;4;0;2;Highly Likely to Churn'
252;Miami;3,0000;69500;Accounting;3;4;Short;Divorced;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
253;Dallas;9,0000;71500;Customer Service;4;4;Long;Married;Master;3;12,0000;Yes;3;1;3;Highly Likely to Churn'
254;Chicago;13,0000;72000;Marketing;4;3;Long;Married;Bachelor;4;16,9755;Yes;3;0;2;Highly Likely to Churn'
255;Seattle;5,0000;56500;Human Resources;4;4;Medium;Married;Bachelor;4;36,0000;Yes;4;0;2;Highly Likely to Churn'
256;Chicago;14,0000;72000;Accounting;2;4;Medium;Married;Bachelor;4;12,0000;Yes;4;5;3;Moderately Likely to Churn
257;San Francisco;14,0000;80000;Legal;3;4;Medium;Married;Bachelor;4;24,0000;Yes;3,5;5;3;Moderately Likely to Churn
258;Scranton;14,0000;71500;Facilities Management;4;4;Short;Single;Bachelor;3;18,0000;Yes;3;5;2;Highly Likely to Churn'
259;Boston;13,0000;77500;Sales;4;4;Medium;Married;Bachelor;3;30,0000;Yes;4;5;3;Moderately Likely to Churn
260;Boston;3,0000;69500;Operations;4;4;Long;Single;Bachelor;4;24,0000;Yes;5;0;4;Moderately Likely to Churn
261;Boston;7,0000;66000;Research and Development;4;4;Short;Single;Master;4;12,0000;Yes;4;0;2;Highly Likely to Churn'
262;Miami;3,0000;65000;Administration;4;3;Medium;Single;Master;3;17,8585;Yes;4;0;3;Highly Likely to Churn'
263;Chicago;12,0000;62000;Accounting;4;4;Medium;Single;Bachelor;3;34,6456;Yes;3;3;2;Highly Likely to Churn'
264;Boston;4,0000;67500;Sales;2;4;Short;Married;Bachelor;4;36,0000;Yes;4;0;3;Moderately Likely to Churn
265;Los Angeles;4,0000;58500;Quality Assurance;4;4;Short;Married;Bachelor;4;12,0000;Yes;3,5;0;3;Moderately Likely to Churn
266;Scranton;6,0000;52500;Customer Service;1;3;Long;Single;High School;4;48,0000;Yes;4;0;3;Moderately Likely to Churn
267;Dallas;5,0000;65000;Operations;4;4;Medium;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
268;Los Angeles;2,0000;69000;Accounting;4;4;Short;Divorced;Master;4;18,0000;Yes;3;0;2;Highly Likely to Churn'
269;Atlanta;10,0000;59500;Procurement;3;4;Long;Married;Bachelor;4;24,0000;Yes;3;3;2;Highly Likely to Churn'
270;Philadelphia;9,0000;67000;Accounting;5;4;Long;Single;Bachelor;4;36,0000;Yes;4;0;2;Highly Likely to Churn'
271;Boston;8,0000;62000;Procurement;5;4;Long;Married;High School;4;34,6456;Yes;3,5;2;2;Highly Likely to Churn'
272;Philadelphia;4,0000;63500;Accounting;3;4;Long;Married;High School;4;63,0000;Yes;4;0;3;Moderately Likely to Churn
273;New York;13,0000;85500;Sales;3;4;Long;Married;Bachelor;3;18,0000;Yes;3,5;3;3;Moderately Likely to Churn
274;Miami;7,0000;72000;Sales;4;4;Medium;Divorced;High School;3;63,0000;Yes;4;1;3;Highly Likely to Churn'
275;San Francisco;4,0000;71500;Marketing;5;4;Short;Married;Bachelor;3;18,0000;Yes;3,5;0;3;Moderately Likely to Churn
276;Atlanta;5,0000;72500;Sales;4;4;Medium;Married;Master;3;30,0000;Yes;3;0;2;Highly Likely to Churn'
277;Boston;11,0000;67000;Research and Development;4;4;Short;Married;Bachelor;4;18,0000;Yes;4;1;2;Highly Likely to Churn'
278;Los Angeles;7,0000;65000;Research and Development;2;4;Long;Married;High School;4;32,0000;Yes;4;1;3;Moderately Likely to Churn
279;San Francisco;4,0000;64000;Procurement;3;4;Medium;Married;Bachelor;4;30,0000;Yes;3,5;0;4;Moderately Likely to Churn
280;Boston;8,0000;80500;Sales;4;3;Short;Married;Bachelor;4;6,0000;Yes;4;2;2;Highly Likely to Churn'
281;Scranton;8,0000;64500;Legal;3;4;Medium;Single;Bachelor;3;24,0000;Yes;3,5;0;2;Highly Likely to Churn'
282;Scranton;6,0000;53000;Research and Development;5;4;Long;Married;High School;4;63,0000;Yes;2;0;2;Highly Likely to Churn'
283;Los Angeles;4,0000;62500;Public Relations;4;4;Short;Divorced;Bachelor;4;18,0000;Yes;3;0;3;Moderately Likely to Churn
284;Dallas;8,0000;70500;Accounting;3;4;Medium;Single;High School;3;56,0000;Yes;3;2;2;Highly Likely to Churn'
285;San Francisco;10,0000;69500;Human Resources;3;4;Short;Married;Bachelor;4;34,6456;Yes;3;1;2;Highly Likely to Churn'
286;New York;14,0000;72500;Marketing;4;4;Medium;Divorced;High School;4;32,0000;Yes;4;3;3;Moderately Likely to Churn
287;Atlanta;7,0000;66000;Research and Development;3;4;Medium;Married;Bachelor;3;30,0000;Yes;3,5;1;3;Highly Likely to Churn'
288;Los Angeles;3,0000;67500;Accounting;4;4;Medium;Single;Bachelor;3;18,0000;Yes;4;0;2;Highly Likely to Churn'
289;New York;4,0000;67000;Operations;4;4;Short;Married;Bachelor;4;36,0000;Yes;4;0;3;Moderately Likely to Churn
290;San Francisco;10,0000;73500;Public Relations;3;4;Medium;Married;Bachelor;3;34,6456;Yes;2;2;1;Highly Likely to Churn'
291;Los Angeles;1,0000;59500;Administration;2;4;Medium;Married;High School;3;32,0000;Yes;4;0;2;Highly Likely to Churn'
292;Denver;2,0000;59500;Accounting;5;4;Long;Married;Bachelor;4;24,0000;Yes;3;0;2;Highly Likely to Churn'
293;Scranton;3,0000;55000;Operations;5;4;Short;Married;Bachelor;4;18,0000;Yes;3;0;2;Highly Likely to Churn'
294;Denver;3,0000;62000;IT Support;5;4;Medium;Married;High School;3;56,0000;Yes;3;0;2;Highly Likely to Churn'
295;Scranton;2,0000;45000;Facilities Management;5;4;Short;Divorced;High School;4;63,0000;Yes;4;0;2;Highly Likely to Churn'
296;Seattle;12,0000;82000;Accounting;3;4;Medium;Single;Master;3;30,0000;Yes;4;0;3;Moderately Likely to Churn
297;New York;10,0000;67000;Research and Development;2;4;Short;Married;High School;3;63,0000;Yes;3;0;2;Highly Likely to Churn'
298;Dallas;6,0000;59000;Administration;2;4;Long;Married;Bachelor;3;18,0000;Yes;3;0;3;Moderately Likely to Churn
299;New York;5,0000;78000;Legal;3;4;Short;Single;Bachelor;3;6,0000;Yes;3;0;2;Highly Likely to Churn'
300;New York;7,0000;77500;Product Management;3;4;Long;Single;High School;3;63,0000;Yes;4;1;3;Moderately Likely to Churn
301;Miami;6,0000;60000;Human Resources;5;4;Medium;Single;High School;3;56,0000;Yes;3;0;2;Highly Likely to Churn'
302;Seattle;13,0000;68000;Public Relations;3;4;Medium;Single;Bachelor;3;24,0000;Yes;3;1;2;Highly Likely to Churn'
303;Scranton;7,0000;55500;Customer Service;3;4;Medium;Divorced;Master;4;18,0000;Yes;3,5;1;3;Moderately Likely to Churn
304;Scranton;14,0000;63000;Procurement;5;4;Short;Married;High School;4;63,0000;Yes;4;5;3;Moderately Likely to Churn
305;Seattle;6,0000;64000;Product Management;4;4;Short;Single;Bachelor;4;18,0000;Yes;3;0;3;Moderately Likely to Churn
306;Philadelphia;10,0000;71000;Administration;3;4;Medium;Single;Bachelor;2;35,4863;Yes;3;4;1;Highly Likely to Churn'
307;Miami;12,0000;67000;Sales;5;4;Medium;Married;Bachelor;2;23,9004;Yes;3;4;2;Highly Likely to Churn'
308;Dallas;4,0000;44500;Operations;2;3;Long;Married;High School;3;63,0000;Yes;4;0;3;Moderately Likely to Churn
309;Scranton;7,0000;74500;Product Management;2;4;Long;Married;Master;3;18,0000;Yes;3;0;2;Highly Likely to Churn'
310;Boston;10,0000;67500;Marketing;3;4;Short;Single;Bachelor;3;34,6456;Yes;4;0;3;Moderately Likely to Churn
311;Denver;3,0000;64000;Research and Development;3;4;Short;Married;Bachelor;3;6,0000;Yes;3;0;3;Highly Likely to Churn'
312;Dallas;6,0000;70000;Product Management;1;4;Short;Married;High School;3;63,0000;Yes;3;0;3;Moderately Likely to Churn
313;Chicago;10,0000;56500;Customer Service;4;4;Medium;Married;Bachelor;3;18,0000;Yes;4;1;2;Highly Likely to Churn'
314;Philadelphia;14,0000;79000;IT Support;4;3;Medium;Married;High School;3;63,0000;Yes;4;5;4;Moderately Likely to Churn
315;Los Angeles;6,0000;66500;Procurement;3;4;Short;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
316;Scranton;14,0000;75000;Public Relations;2;3;Medium;Single;Bachelor;3;18,0000;Yes;3;2;2;Highly Likely to Churn'
317;Boston;15,0000;87000;Research and Development;1;2;Long;Single;Bachelor;3;24,0000;Yes;2;0;2;Highly Likely to Churn'
318;Boston;5,0000;60000;Customer Service;4;4;Long;Married;High School;3;40,0000;Yes;3;0;2;Highly Likely to Churn'
319;Philadelphia;3,0000;63000;Research and Development;2;4;Medium;Married;High School;3;63,0000;Yes;3,5;0;2;Highly Likely to Churn'
320;Chicago;8,0000;80500;Public Relations;4;4;Long;Single;Bachelor;3;34,6456;Yes;3;0;2;Highly Likely to Churn'
321;Los Angeles;5,0000;73500;Legal;4;4;Medium;Single;Bachelor;4;34,6456;Yes;3;0;2;Highly Likely to Churn'
322;Denver;11,0000;65500;Research and Development;4;4;Medium;Single;High School;4;48,0000;Yes;4;4;3;Highly Likely to Churn'
323;Atlanta;8,0000;67000;Accounting;3;4;Long;Single;High School;3;34,6456;Yes;4;0;3;Highly Likely to Churn'
324;New York;9,0000;79500;Legal;5;4;Medium;Married;Bachelor;4;6,0000;Yes;3,5;3;2;Highly Likely to Churn'
325;Philadelphia;10,0000;77500;Product Management;4;4;Long;Single;Master;4;18,0000;Yes;3,5;0;2;Highly Likely to Churn'
326;New York;7,0000;64000;Accounting;3;4;Short;Single;Bachelor;4;34,6456;Yes;3;0;3;Moderately Likely to Churn
327;Philadelphia;10,0000;66500;Accounting;4;4;Short;Single;Bachelor;4;36,0000;Yes;5;3;3;Moderately Likely to Churn
328;San Francisco;7,0000;69000;Sales;3;4;Long;Married;High School;4;63,0000;Yes;5;1;3;Moderately Likely to Churn
329;New York;10,0000;73500;Research and Development;5;4;Long;Single;Bachelor;3;5,5513;Yes;3;3;2;Moderately Likely to Churn
330;Seattle;6,0000;72500;Legal;5;4;Long;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
331;Los Angeles;12,0000;71500;Customer Service;3;4;Long;Divorced;Bachelor;3;34,6456;Yes;4;1;3;Moderately Likely to Churn
332;New York;11,0000;79000;Sales;5;4;Long;Married;Bachelor;3;24,0000;Yes;2;1;3;Highly Likely to Churn'
333;Philadelphia;6,0000;65000;Accounting;4;4;Medium;Married;High School;4;63,0000;Yes;4;0;3;Moderately Likely to Churn
334;New York;12,0000;82000;Human Resources;2;3;Medium;Single;Bachelor;3;34,6456;Yes;3;0;2;Highly Likely to Churn'
335;Philadelphia;13,0000;65500;Administration;3;4;Short;Married;High School;3;63,0000;Yes;3;5;2;Highly Likely to Churn'
336;Los Angeles;5,0000;85500;Marketing;5;5;Medium;Married;Master;4;34,6456;Yes;4;0;2;Highly Likely to Churn'
337;New York;10,0000;73000;Procurement;2;4;Short;Married;Bachelor;4;30,0000;Yes;3;1;2;Highly Likely to Churn'
338;Scranton;2,0000;57500;Product Management;4;4;Short;Married;Bachelor;3;12,0000;Yes;2;0;1;Highly Likely to Churn'
339;New York;1,0000;63500;Customer Service;3;4;Long;Married;Bachelor;3;36,0000;Yes;3;0;3;Moderately Likely to Churn
340;Atlanta;3,0000;56500;Sales;4;3;Short;Married;High School;4;63,0000;Yes;3;0;3;Highly Likely to Churn'
341;Denver;11,0000;69500;Accounting;3;4;Long;Married;Bachelor;3;18,0000;Yes;4;5;3;Highly Likely to Churn'
342;Atlanta;8,0000;77500;IT Support;2;4;Medium;Married;Bachelor;4;30,0000;Yes;3,5;1;3;Highly Likely to Churn'
343;Los Angeles;5,0000;74500;Sales;1;4;Short;Divorced;Bachelor;3;18,0000;Yes;4;0;4;Moderately Likely to Churn
344;Atlanta;13,0000;67000;Research and Development;4;4;Short;Married;High School;4;34,6456;Yes;3;1;2;Highly Likely to Churn'
345;New York;14,0000;73500;Procurement;5;4;Long;Divorced;High School;3;56,0000;Yes;3;5;2;Highly Likely to Churn'
346;Los Angeles;4,0000;80500;Sales;5;4;Long;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
347;Los Angeles;4,0000;61000;Research and Development;5;4;Medium;Married;Bachelor;4;34,6456;Yes;3;0;2;Highly Likely to Churn'
348;Scranton;7,0000;49500;Quality Assurance;3;4;Long;Single;High School;3;63,0000;Yes;3;1;2;Highly Likely to Churn'
349;Miami;6,0000;58500;Accounting;5;4;Long;Divorced;Bachelor;3;6,0000;Yes;4;0;3;Highly Likely to Churn'
350;Boston;4,0000;70500;Marketing;3;3;Medium;Married;Bachelor;3;24,0000;Yes;3;0;2;Highly Likely to Churn'
351;Dallas;11,0000;74000;Quality Assurance;3;4;Long;Single;Bachelor;4;24,0000;Yes;3;3;3;Moderately Likely to Churn
352;Seattle;16,0000;68500;Customer Service;4;4;Long;Married;Bachelor;4;34,6456;Yes;4;5;2;Highly Likely to Churn'
353;Los Angeles;9,0000;64000;Customer Service;4;4;Short;Divorced;High School;4;63,0000;Yes;4;1;2;Highly Likely to Churn'
354;Boston;9,0000;63500;Research and Development;5;4;Short;Single;High School;3;63,0000;Yes;3;2;2;Highly Likely to Churn'
355;Los Angeles;5,0000;63500;Operations;4;4;Medium;Single;Bachelor;3;35,5428;Yes;5;0;4;Moderately Likely to Churn
356;New York;3,0000;70500;Human Resources;2;4;Medium;Married;Bachelor;4;18,0000;Yes;4;0;3;Moderately Likely to Churn
357;Scranton;4,0000;56000;Public Relations;3;3;Medium;Single;Master;4;18,0000;Yes;4;0;3;Moderately Likely to Churn
358;Chicago;3,0000;62000;Sales;3;4;Short;Married;High School;4;63,0000;Yes;4;0;3;Moderately Likely to Churn
359;Scranton;12,0000;55500;IT Support;4;4;Medium;Divorced;Bachelor;3;18,0000;Yes;2;5;2;Highly Likely to Churn'
360;Philadelphia;6,0000;63500;Marketing;3;4;Short;Married;High School;4;34,6456;Yes;3;0;2;Highly Likely to Churn'
361;Los Angeles;7,0000;79000;Product Management;2;4;Short;Married;Master;3;36,0000;Yes;4;1;2;Highly Likely to Churn'
362;Scranton;5,0000;63500;Sales;5;4;Short;Married;Bachelor;4;24,1680;Yes;4;0;3;Moderately Likely to Churn
363;Atlanta;4,0000;58500;Marketing;3;4;Short;Married;Master;4;12,0000;Yes;3;0;3;Highly Likely to Churn'
364;Unknown;9,0000;70000;Marketing;2;4;Long;Divorced;Bachelor;3;24,0000;Yes;3;1;2;Highly Likely to Churn'
365;Philadelphia;3,0000;57000;Customer Service;4;3;Long;Divorced;High School;3;34,6456;Yes;3;0;2;Highly Likely to Churn'
366;Denver;13,0000;66000;Accounting;3;3;Medium;Single;Bachelor;3;30,0000;Yes;4;1;3;Highly Likely to Churn'
367;Denver;13,0000;70000;Legal;1;4;Long;Married;Bachelor;3;12,0000;Yes;3;3;2;Highly Likely to Churn'
368;Philadelphia;8,0000;66000;IT Support;4;4;Short;Married;Bachelor;4;6,0000;Yes;4;2;2;Highly Likely to Churn'
369;Denver;2,0000;52000;Customer Service;3;3;Long;Single;Bachelor;3;30,0000;Yes;3;0;2;Highly Likely to Churn'
370;Los Angeles;8,0000;66.654,4980443;Accounting;2;4;Short;Married;Bachelor;4;24,0000;Yes;5;1;4;Moderately Likely to Churn
371;Scranton;6,0000;56000;Accounting;4;4;Long;Divorced;Master;3;24,0000;Yes;3;0;3;Moderately Likely to Churn
372;Philadelphia;17,5000;82000;Marketing;3;4;Medium;Married;Bachelor;3;18,0000;Yes;4;5;2;Highly Likely to Churn'
373;San Francisco;6,0000;62500;Customer Service;5;4;Short;Single;High School;4;48,0000;Yes;4;0;3;Moderately Likely to Churn
374;Denver;11,0000;70000;Marketing;3;4;Long;Married;Bachelor;4;34,6456;Yes;3;0;2;Highly Likely to Churn'
375;Philadelphia;5,0000;66000;Accounting;2;4;Short;Married;High School;4;63,0000;Yes;4;0;3;Moderately Likely to Churn
376;Philadelphia;3,0000;59500;Facilities Management;4;3;Short;Married;Bachelor;2;36,1945;Yes;4;0;3;Moderately Likely to Churn
377;Philadelphia;4,0000;72000;Product Management;4;4;Long;Married;Bachelor;3;36,0852;Yes;3;0;3;Moderately Likely to Churn
378;San Francisco;7,0000;64500;Public Relations;3;4;Medium;Single;High School;3;63,0000;Yes;2;0;3;Highly Likely to Churn'
379;Los Angeles;11,0000;70500;Human Resources;5;4;Medium;Married;Master;3;12,0000;Yes;3;5;2;Highly Likely to Churn'
380;Los Angeles;4,0000;78500;Research and Development;4;4;Short;Divorced;Bachelor;4;24,0000;Yes;4;0;3;Moderately Likely to Churn
381;Chicago;4,0000;65500;Public Relations;4;4;Long;Married;Bachelor;4;6,0000;Yes;3;0;2;Highly Likely to Churn'
382;Seattle;7,0000;64500;Accounting;4;4;Long;Married;High School;3;63,0000;Yes;3;1;2;Highly Likely to Churn'
383;Boston;6,0000;68000;Accounting;5;4;Medium;Divorced;Bachelor;3;24,0000;Yes;3,5;0;2;Highly Likely to Churn'
384;Dallas;5,0000;59500;Procurement;4;4;Short;Married;Bachelor;4;12,0000;Yes;4;0;3;Moderately Likely to Churn
385;Los Angeles;4,0000;55000;Public Relations;3;4;Medium;Married;Bachelor;3;30,0000;Yes;4;0;4;Moderately Likely to Churn
386;New York;5,0000;73000;Marketing;4;4;Short;Married;Bachelor;3;18,0000;Yes;4;0;3;Moderately Likely to Churn
387;Miami;6,0000;65000;Quality Assurance;2;4;Short;Single;Bachelor;3;24,3371;Yes;4;0;3;Highly Likely to Churn'
388;Los Angeles;4,0000;69500;Human Resources;4;4;Short;Married;Bachelor;4;30,0000;Yes;4;0;2;Highly Likely to Churn'
389;Scranton;2,0000;57000;Sales;5;4;Short;Married;Bachelor;4;30,0000;Yes;4;0;3;Moderately Likely to Churn
390;Philadelphia;8,0000;67000;Legal;5;5;Long;Divorced;High School;3;47,6000;Yes;3;2;3;Moderately Likely to Churn
391;Miami;3,0000;64000;Accounting;3;4;Short;Married;Bachelor;4;12,0000;Yes;4;0;4;Highly Likely to Churn'
392;Chicago;12,0000;62500;IT Support;4;4;Long;Single;Bachelor;4;18,0000;Yes;5;2;4;Moderately Likely to Churn
393;New York;6,0000;67000;Sales;4;4;Long;Married;High School;4;56,0000;Yes;5;0;3;Moderately Likely to Churn
394;Philadelphia;4,0000;65000;Sales;2;4;Short;Married;High School;4;63,0000;Yes;5;0;3;Moderately Likely to Churn
395;Los Angeles;12,0000;78000;Human Resources;4;4;Long;Single;Bachelor;4;34,6456;Yes;4;2;3;Moderately Likely to Churn
396;Denver;5,0000;67000;Customer Service;4;4;Medium;Single;Bachelor;4;34,6456;Yes;4;0;3;Highly Likely to Churn'
397;Miami;14,0000;61000;Accounting;5;4;Short;Divorced;High School;3;63,0000;Yes;3;2;2;Highly Likely to Churn'
398;Los Angeles;6,0000;71000;Sales;4;4;Short;Married;Bachelor;3;18,0000;Yes;3;0;2;Highly Likely to Churn'
399;Atlanta;5,0000;61000;Research and Development;3;4;Medium;Single;High School;3;63,0000;Yes;4;0;2;Highly Likely to Churn'
400;Boston;4,0000;60500;Sales;3;4;Long;Divorced;High School;4;56,0000;Yes;3;0;2;Highly Likely to Churn'
401;Scranton;5,0000;54500;Operations;4;4;Medium;Divorced;Bachelor;3;12,0000;Yes;4;0;4;Moderately Likely to Churn
402;Denver;7,0000;69000;IT Support;5;4;Medium;Single;Bachelor;3;30,0000;Yes;4;0;2;Highly Likely to Churn'
403;Chicago;6,0000;57000;Operations;5;4;Medium;Married;High School;4;63,0000;Yes;3,5;0;3;Moderately Likely to Churn
404;Chicago;14,0000;88500;Sales;3;4;Short;Divorced;Bachelor;4;24,0000;Yes;4;4;3;Moderately Likely to Churn
405;Atlanta;7,0000;69500;Legal;5;4;Long;Single;Bachelor;4;18,0000;Yes;4;0;2;Highly Likely to Churn'
406;Los Angeles;7,0000;69000;Human Resources;3;3;Medium;Single;Bachelor;3;6,0000;Yes;4;0;3;Moderately Likely to Churn
407;Atlanta;3,0000;63500;Human Resources;3;4;Long;Married;Bachelor;3;12,0000;Yes;3;0;2;Highly Likely to Churn'
408;Boston;4,0000;58000;Administration;5;4;Long;Divorced;Bachelor;3;18,0000;Yes;4;0;3;Moderately Likely to Churn
409;Philadelphia;5,0000;62000;Quality Assurance;4;4;Medium;Married;Bachelor;3;34,6456;Yes;4;0;3;Moderately Likely to Churn
410;Dallas;7,0000;66500;Public Relations;2;4;Long;Married;Bachelor;4;30,0000;Yes;4;1;3;Moderately Likely to Churn
411;Dallas;12,0000;75500;Operations;2;4;Medium;Married;High School;4;63,0000;Yes;4;0;3;Moderately Likely to Churn
412;Seattle;8,0000;74000;Legal;2;3;Medium;Married;Bachelor;3;24,0000;Yes;3;2;2;Highly Likely to Churn'
413;Chicago;2,0000;61000;Procurement;4;4;Medium;Married;Master;3;30,0000;Yes;4;0;3;Moderately Likely to Churn
414;Scranton;10,0000;62000;Administration;3;4;Short;Married;Bachelor;3;34,6456;Yes;3,5;3;3;Moderately Likely to Churn
415;Atlanta;5,0000;57000;Administration;3;4;Long;Divorced;Bachelor;4;30,0000;Yes;4;0;3;Highly Likely to Churn'
416;Philadelphia;9,0000;71000;Administration;4;4;Short;Single;Bachelor;4;11,9694;Yes;3;0;3;Highly Likely to Churn'
417;Miami;7,0000;64000;Sales;3;4;Long;Single;High School;3;32,0000;Yes;3;1;3;Highly Likely to Churn'
418;Los Angeles;2,0000;71500;Accounting;5;3;Short;Married;Bachelor;3;18,0000;Yes;4;0;3;Moderately Likely to Churn
419;Boston;5,0000;52000;Human Resources;5;4;Short;Single;High School;3;34,6456;Yes;2;0;3;Highly Likely to Churn'
420;New York;4,0000;73500;Sales;3;4;Short;Married;Bachelor;4;18,0000;Yes;4;0;3;Moderately Likely to Churn
421;Scranton;4,0000;55500;Customer Service;5;4;Medium;Married;Bachelor;4;18,0000;Yes;4;0;4;Moderately Likely to Churn
422;Los Angeles;10,0000;71000;Procurement;4;4;Medium;Married;Bachelor;4;12,0000;Yes;4;1;3;Moderately Likely to Churn
